fighter_id,full_name,age,weight_class,fighter_stance,total_fights,wins,losses,avg_total_str_att,avg_sig_str_att,avg_strike_acc,avg_td_att,avg_td_off_pct,avg_td_def_pct,avg_sub_att,avg_str_abs_pct,ko_wins,ko_losses,sub_wins,sub_losses,fighting_style
2978.0,Jon Fitch,47.0,Welterweight,Orthodox,17,14,3,155.1764705882353,67.82352941176471,0.48315886682189946,5.588235294117647,0.5679846079846079,0.5762032085561497,0.8235294117647058,0.6521728320963304,1,1,0,0,Wrestler
2980.0,Chris Fishgold,32.0,Featherweight,Orthodox,4,1,3,57.75,54.25,0.3391716401414677,3.25,0.3333333333333333,0.3333333333333333,0.75,0.6231167679837892,0,1,0,0,Mixed
2981.0,Spencer Fisher,48.0,Lightweight,Southpaw,17,9,8,114.3529411764706,86.11764705882354,0.46169718875422416,1.7647058823529411,0.31234567901234567,0.5629905808477237,0.5882352941176471,0.5415667821090838,3,3,0,0,Mixed
2983.0,Manon Fiorot,35.0,Women's Flyweight,Orthodox,6,6,0,206.33333333333334,196.83333333333334,0.4282795994145907,2.5,0.5555555555555555,0.9375,0.0,0.34228386668093874,2,0,0,0,Wrestler
2984.0,Nick Fiore,27.0,Lightweight,Orthodox,2,0,2,105.5,91.5,0.4661290322580645,5.5,0.41666666666666663,0.575,0.0,0.6042053663570691,0,0,0,0,Mixed
2985.0,Luigi Fioravanti,44.0,Welterweight,Orthodox,9,4,5,84.0,55.44444444444444,0.4545467101666898,4.222222222222222,0.49322916666666666,0.6428571428571429,0.6666666666666666,0.5083697822329636,2,2,0,0,Mixed
2990.0,Mirko Filipovic,50.0,Heavyweight,Southpaw,11,5,6,69.9090909090909,48.63636363636363,0.4423599438818266,0.5454545454545454,0.3333333333333333,0.6205357142857143,0.2727272727272727,0.47545589401492633,4,5,0,0,Mixed
2991.0,Andre Fili,34.0,Featherweight,Orthodox,19,10,9,127.63157894736842,116.78947368421052,0.3617202900676131,3.5789473684210527,0.5097789115646258,0.6496891996891997,0.21052631578947367,0.5515173193400705,3,2,0,0,Wrestler
2992.0,Jafel Filho,31.0,Flyweight,Orthodox,2,1,1,74.5,45.5,0.3160660660660661,2.0,0.25,0.5,1.5,0.6798076923076923,0,0,0,0,Mixed
2994.0,Edwin Figueroa,40.0,Bantamweight,Orthodox,6,2,4,98.5,81.5,0.4143662668955708,0.16666666666666666,1.0,0.24242424242424243,0.5,0.5945215843176164,1,1,0,0,Mixed
2996.0,Francisco Figueiredo,35.0,Flyweight,Southpaw,4,2,2,39.5,29.5,0.7256813417190775,2.0,0.8333333333333333,0.5795454545454546,0.25,0.6560450033418324,0,0,0,0,Wrestler
2997.0,Deiveson Figueiredo,37.0,Flyweight,Orthodox,13,10,3,61.53846153846154,53.53846153846154,0.5699370117843627,2.6153846153846154,0.5241046831955923,0.6573002754820937,1.5384615384615385,0.5604353936226717,4,1,0,0,Wrestler
2998.0,Michal Figlak,28.0,Lightweight,Orthodox,1,0,1,126.0,96.0,0.2916666666666667,5.0,0.2,0.5714285714285714,0.0,0.6851851851851852,0,0,0,0,Mixed
3000.0,Scott Fiedler,,Open Weight,Orthodox,1,0,1,7.0,4.0,0.75,0.0,,0.5,0.0,0.7647058823529411,0,1,0,0,Boxer
3001.0,Drew Fickett,45.0,Welterweight,Orthodox,7,4,3,78.85714285714286,53.285714285714285,0.3697067404548026,2.2857142857142856,0.5523809523809524,0.4490740740740741,1.1428571428571428,0.7087529614972503,0,1,0,0,Wrestler
3002.0,Andre Fialho,31.0,Welterweight,Orthodox,7,2,5,73.0,69.42857142857143,0.45001862174702184,0.14285714285714285,1.0,0.6875,0.0,0.5384995190408484,2,4,0,0,Mixed
3004.0,Scott Ferrozzo,60.0,Open Weight,Orthodox,5,3,2,79.0,37.5,0.5256458966565349,1.75,0.5,1.0,0.5,0.6554383116883117,1,1,0,0,Wrestler
3005.0,Brunno Ferreira,32.0,Middleweight,Orthodox,2,1,1,25.5,25.0,0.5444444444444444,1.0,0.0,0.0,0.0,0.589430894308943,1,1,0,0,Kickboxer
3007.0,Diego Ferreira,40.0,Lightweight,Orthodox,14,9,5,122.78571428571429,110.78571428571429,0.4244247993279316,1.9285714285714286,0.19285714285714287,0.6828042328042329,0.42857142857142855,0.5046846392884479,4,3,0,0,Mixed
3008.0,Cezar Ferreira,40.0,Middleweight,Southpaw,15,9,6,65.86666666666666,46.2,0.44928024523738336,3.466666666666667,0.5731404958677686,0.8883928571428572,0.3333333333333333,0.534586393769834,0,3,0,0,Wrestler
3009.0,Alexandre Ferreira,46.0,Light Heavyweight,Orthodox,1,0,1,13.0,10.0,0.6,3.0,0.0,0.0,0.0,0.6875,0,1,0,0,Boxer
3013.0,Gabriella Fernandes,31.0,Women's Flyweight,Southpaw,2,0,2,79.0,51.5,0.47682370820668696,0.5,0.0,0.6,0.0,0.7316180108857002,0,0,0,0,Mixed
3016.0,Josh Ferguson,36.0,Bantamweight,Orthodox,2,0,2,79.5,61.5,0.4469496021220159,4.5,0.0625,0.55,0.0,0.7934615384615384,0,0,0,0,Mixed
3017.0,Tony Ferguson,41.0,Lightweight,Orthodox,22,15,7,134.86363636363637,126.45454545454545,0.4415113310890035,0.9090909090909091,0.4090909090909091,0.6344444444444445,0.7272727272727273,0.4284505046342476,5,2,0,0,Mixed
3019.0,Kevin Ferguson,51.0,Catch Weight,Orthodox,2,1,1,53.0,43.5,0.3235930735930736,4.5,0.7,,0.5,0.7312244897959184,0,1,0,0,Wrestler
3022.0,Carlos Felipe,30.0,Heavyweight,Orthodox,5,3,2,162.8,160.8,0.452113957769863,0.2,0.0,0.8928571428571428,0.0,0.5774417371779735,0,0,0,0,Mixed
3023.0,Paul Felder,41.0,Lightweight,Orthodox,15,9,6,126.33333333333333,114.0,0.46424003640969114,0.9333333333333333,0.25,0.6367132867132868,0.2,0.5512705893234814,4,1,0,0,Mixed
3025.0,Kelly Faszholz,40.0,Women's Bantamweight,Orthodox,2,0,2,172.5,124.5,0.4736074270557029,1.5,0.0,0.5,0.0,0.6247549019607843,0,1,0,0,Mixed
